streamflow,JPO4,JPON,JPOP,PO4JRES,PO4T2R,POPR,baseflow,%sat_area,evap,sat_def,snowpack,trans,missisquoi_Q,missisquoi_TP,missisquoi_TN,pike_Q,pike_TP,pike_TN,rock_Q,rock_TP,rock_TN,basin_TP_gps,basin_TN_gps,RandomNum,CHLAClass,ipsl-cm5a-mr.1,miroc-esm-chem.1,mri-cgcm3.1,noresm1-m.1,canesm2.1,ccsm4.1,gfdl-esm2m.1,inmcm4.1,miroc-esm.1,rcp45,rcp60,rcp85,rcp26,0_redux,100_redux,20_redux,40_redux,60_redux,64_redux,80_redux,S0_redux,S1_redux,S2_redux,S3_redux,S4_redux
58.94131161328704,0.7074783406883692,4.930219602813538,0.570438069476784,0.0,118122.8932947392,0.1226801187496819,1.550661,1.4512770000000002,0.154479,130.994548,1.136394,0.0,60.144195523762285,0.0186418249448002,0.6362976240039661,13.703740752249637,0.0186418249448002,0.6362976240039661,2.283956792041605,0.0186418249448002,0.6362976240039661,1.4192374232909022,48.44254267012647,0.0955821084370347,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
41.002920520601855,0.1527649681809709,3.4651653046230617,0.5477505476622702,0.0,92627.42128016335,0.1080697949269978,1.396633,1.411669,1.039919,128.070007,1.135614,0.000235,41.83971481694067,0.0139147246945771,0.6198504989544656,9.533099578543444,0.0139147246945771,0.6198504989544656,1.5888499297572405,0.0139147246945771,0.6198504989544656,0.7369469784523411,32.82831405745978,0.6970174730968651,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
43.54968418912037,1.3165590923181254,3.179462470596643,0.3847525788368366,0.0,167245.8866906475,0.1388546497666006,1.504104,1.270175,0.2389639999999999,165.183031,0.685847,0.015285,44.43845325420446,0.0400348868792388,0.6221855434025003,10.12521719716051,0.0400348868792388,0.6221855434025003,1.6875361995267515,0.0400348868792388,0.6221855434025003,2.2520106950891354,34.998687577131406,0.5054967855291213,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
16.323039282824073,0.8788247392189017,8.080603504638306,0.8707558195367991,0.0,88767.96283441996,0.101403115821971,0.840615,1.118042,0.520284,176.381907,140.966848,0.077682,16.65616253349395,0.0011659866021194,0.5972223217212203,3.795075007631533,0.0011659866021194,0.5972223217212203,0.6325125012719222,0.0011659866021194,0.5972223217212203,0.02458337007187,12.591686150910457,0.9145592894050064,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
36.22801867412037,4.33388640011529,10.763185630313496,1.743333732481483,0.0,179879.61589478416,0.1259268258008168,0.955449,1.235926,1.461274,149.11531200000002,1.136459,0.0,36.96736599400038,0.0222091421294684,0.6154725473665892,8.422944150531732,0.0222091421294684,0.6154725473665892,1.4038240250886218,0.0222091421294684,0.6154725473665892,1.0392575765985206,28.800504959190427,0.0678004568505251,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.838938,0.4631741226291199,1.9339101358855084,0.186782341048443,0.0,164530.02776528776,0.138898693007245,0.756147,0.2992329999999999,0.09844,499.896296,180.489953,0.0,21.79308703599773,0.0308027382614888,0.601838002494455,4.9655135018729,0.0308027382614888,0.601838002494455,0.8275855836454833,0.0308027382614888,0.601838002494455,0.8497300707337759,16.602415151813513,0.4924014608041157,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.65336,7.209598001530416,7.074829504072524,1.283249270787342,0.0,170894.1021807554,0.1386067316615038,1.204533,0.385938,0.830434,563.15605,0.858826,0.0,42.94932209750567,0.0383044193320254,0.6208475143842718,9.785921490570912,0.0383044193320254,0.6208475143842718,1.630986915095152,0.0383044193320254,0.6208475143842718,2.0824668906950405,33.753139074336545,0.1416749731482346,3,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
215.7205056410185,3.342554393432123,7.534407913541908,1.027437237884215,0.0,133251.978895009,0.1183351307249755,3.169955,1.606234,2.748399,95.737173,0.0,0.0,220.1229649398148,0.0466404932183711,0.7800433476873717,50.15459960654008,0.0466404932183711,0.7800433476873717,8.359099934423345,0.0466404932183711,0.7800433476873717,12.995751460105302,217.3486765500292,0.6846607548213773,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
45.061296875138886,1.2054446336748503,8.121852275564802,1.1003784753149934,0.0,104712.67788893884,0.1169662139059113,1.436041,1.297712,0.209678,154.937538,58.857887,0.02804,45.98091517871315,0.0081333572239482,0.6235714917155291,10.47666421793464,0.0081333572239482,0.6235714917155291,1.7461107029891063,0.0081333572239482,0.6235714917155291,0.473391403332326,36.29416185877895,0.3342947177710252,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3.143334,4.441514955150137,9.53796677509372,1.8504757852577192,0.0,181536.38678432253,0.1369291148025641,1.327331,0.364824,1.466403,611.958158,0.0,0.0,81.65436712273242,0.05202864307769,0.6556251584907887,18.60479250897701,0.05202864307769,0.6556251584907887,3.100798751496168,0.05202864307769,0.6556251584907887,5.3776783832447,67.7653890965905,0.6785575783935922,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
